id;movieid;spokenlanguageid
660;43074;en
661;714;de
662;714;en
663;714;da
664;714;zh
665;714;cn
666;8005;en
667;8077;en
668;185;en
669;408647;en
670;334543;bn
671;334543;en
672;334543;hi
673;324849;en
674;36586;cs
675;36586;ro
676;36586;en
677;335791;en
678;415;en
679;345009;en
680;345009;pt
681;321258;en
682;256961;en
683;8844;en
684;8844;fr
685;47933;en
686;37799;en
687;137116;ar
688;137116;en
689;10193;en
690;10193;es
691;1734;en
692;1734;ar
693;1124;en
694;256924;en
695;256924;it
696;9502;en
697;16869;de
698;16869;en
699;16869;fr
700;16869;it
701;9804;en
702;9804;de
703;9804;es
704;8009;en
705;9487;en
706;10693;en
707;241554;en
708;136799;en
709;1091;en
710;1091;no
711;381284;en
712;429;it
713;856;en
714;275601;en
715;6114;la
716;6114;ro
717;6114;bg
718;6114;el
719;6114;en
720;608;en
721;1988;en
722;1988;fr
723;1988;ur
724;979;fr
725;2323;en
726;34544;de
727;34544;en
728;34544;es
729;34544;fr
730;34544;sw
731;290098;ja
732;290098;ko
733;9023;en
734;411638;es
735;288;en
736;14161;en
737;14161;fr
738;14161;hi
739;14161;it
740;14161;la
741;14161;zh
742;14161;pt
743;14161;ru
744;14161;bo
745;1593;en
746;1593;it
747;1593;he
748;950;en
749;3133;en
750;3133;es
751;794;en
752;794;it
753;794;la
754;562;en
755;562;de
756;562;it
757;14836;en
758;22803;en
759;402;en
760;41439;en
761;70981;gd
762;70981;en
763;10198;fr
764;10198;en
765;17692;en
766;97;en
767;13183;en
769;324852;yi
770;324852;da
771;324852;cs
