id;company_id;name
10246;;Cross Creek Pictures
10254;;Millennium Films
10255;;Voltage Pictures
10280;;Arc Productions
10282;;Silver Screen Partners IV
10289;;DMG Entertainment
10338;;Perfect World Pictures
10342;;Studio Ghibli
10399;;Cinetel Films
10400;;Eagle Pictures
10405;;Emmett/Furla Films
10565;;Good Machine
10611;;Ciné+
10715;;Alfred J. Hitchcock Productions
10717;;Shamley Productions
10761;;Danjaq
10807;;Troublemaker Studios
10880;;Yuma
10889;;British Film Council
10893;;Big Screen Productions
10905;;Farewell Productions
10908;;Phoenix Film Partners
10991;;Jon Shestack Productions
11005;;AR Films
11006;;Aldamisa Entertainment
11029;;QED International
11084;;Parkes/MacDonald Productions
11092;;Ram Bergman Productions
11199;;Scope Pictures
11261;;M6
11272;;Peregrine
11305;;Saban Brands
11308;;Savoy Pictures
11317;;Phoenix Pictures
11321;;Imaginary Forces
11322;;Justin Pictures
11323;;Linovo Productions GmbH & Co. KG
11324;;Pacific Title and Art Studio
11341;;Stage 6 Films
11345;;Stillking Films
11346;;Motion Picture THETA Produktionsgesellschaft
11347;;Ludlum Entertainment
11348;;Motion Picture BETA Produktionsgesellschaft
11349;;Bourne Again
11353;;B.H. Finance C.V.
11362;;Mark Gordon Productions
11395;;ImageMovers
11398;;Selenia Cinematografica
11413;;China Movie Channel
11446;;Lereby Productions
11461;;Bad Robot
11462;;Alphaville Films
11473;;A.J.O.Z. Films
11533;;Valhalla Motion Pictures
11535;;Jill Jakes Production
11536;;Badlands Company
11537;;Laika Entertainment
11561;;Recorded Picture Company (RPC)
11565;;The Safran Company
11581;;Misher Films
11628;;Tequila Gang
11667;;Northern Ireland Screen
11749;;Twentieth Century Fox Animation
11752;;Number 9 Films
11801;;Trigger Street Productions
11843;;Goldcrest Pictures
11858;;A&E Television Networks
11931;;Prime Time
11956;;Apparatus Productions
12087;;Angry Films
12180;;Warp Films
12200;;Province of British Columbia Production Services Tax Credit
12205;;EDKO Film
12235;;IFP Westcoast Erste
12236;;Blinding Edge Pictures
12292;;Temple Hill Entertainment
12485;;Overbrook Entertainment
12516;;Nibariki
12695;;Sixteen Films
12943;;APJAC Productions
13161;;Tea Shop & Film Company
13184;;Annapurna Pictures
13241;;Demarest Films
13769;;Lynda Obst Productions
13778;;Bluegrass Films
13786;;Aquarius Films
13796;;Hong Kong Alpha Motion Pictures Co.
13923;;Sobini Films
13969;;Globo Filmes
14439;;Arad Productions
14440;;Red Wagon Entertainment
14446;;Infinite Frameworks Studios
14604;;Spectrum Films
14634;;Sailor Bear
14718;;Radar Pictures
14723;;Carolco Pictures
14861;;Before the Door Pictures
14862;;Washington Square Films
15113;;Boo Productions
15115;;Horsefly Productions
15357;;Prime Focus
15829;;Pacific Standard
16061;;Baltimore Spring Creek Productions
16076;;Newgrange Pictures
16312;;Crave Films
16314;;Roth Films
16615;;Point Grey Pictures
16791;;Newman/Tooley Films
17032;;Barry Mendel Productions
17209;;Vice Films
17393;;Good Universe
17449;;Grosvenor Park Productions
17546;;Illusion Film & Television
17653;;22h22
17929;;Vincent Newman Entertainment
18065;;20th Century Fox Russia
18209;;Alpha Core
18230;;Filmgate Films
18359;;Ringling College of Art and Design
18617;;Energy Entertainment
18626;;Kinology
18713;;Prana Studios
18880;;Showtime Networks
18990;;Radiant Productions
19037;;Umedia
19097;;Junction Entertainment
19108;;Latina Pictures
19116;;IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
19222;;Optimum Productions
19231;;Patalex III Productions Limited
19233;;120 Films
19246;;Faliro House Productions
19477;;Dune Films
19481;;Babelsberg Film
19551;;Marvel Enterprises
19643;;Sommers Company, The
19648;;Radical Studios
19747;;Brandywine Productions
19750;;Disney Double Dare You (DDY)
19751;;Indochina Productions
19857;;Sean Daniel Company
19927;;Government of Malta
19936;;Second Mate Productions
19961;;Start Motion Pictures
20004;;Zanuck Company, The
20064;;NEW
20192;;Nippon Television Network (NTV)
20242;;Imhotep Productions
20289;;Asia Union Film & Entertainment Ltd.
20290;;United China Vision
20291;;Zoom Hunt International Productions Company Ltd.
20448;;U-Drive Productions
20478;;Moving Picture Company (MPC)
20555;;Taurus Film
20580;;Amazon Studios
20634;;Bedford Falls Company, The
20656;;Babieka
20664;;Anton Capital Entertainment (ACE)
21409;;MFP Munich Film Partners GmbH & Company I. Produktions KG
21649;;Sky Cinema
21742;;Haunted Movies
21777;;TC Productions
21856;;Holly Wiersma Productions
21904;;Mill Film
21905;;C & L
21906;;Dawliz
22123;;TF1
22146;;Black Bear Pictures
22213;;TSG Entertainment
22826;;Hasbro Studios
22947;;3DTK
22948;;Feelgood Entertainment
22949;;Paradise/MGN
23008;;87Eleven
23019;;Evolution Entertainment
23202;;Wigram Productions
23271;;SOIXAN7E QUIN5E
23272;;See Me Louisiana
23300;;K/O Camera Toys
23318;;Mutressa Movies
23616;;Ciné+
23636;;Mostow/Lieberman Productions
23644;;2DUX²
23700;;Abbolita Productions
23701;;Starstream Entertainment
23791;;Sean Bailey Productions
23889;;Fünfte Babelsberg Film
24049;;Sierra / Affinity
24097;;NeoReel
24510;;MICA Entertainment
24902;;Macari/Edelstein
25121;;MVL Incredible Productions
25473;;Nu Image / Millennium Films
25577;;Safehouse Pictures
25673;;Cinema Vehicle Services
25716;;Captivate Entertainment
26149;;Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG
26261;;Film Commission Torino-Piemonte
26265;;Ronald Shusett/Gary Goldman
26387;;LOVEFiLM International
26590;;Backup Media
26591;;Snd Films
26995;;Animal Kingdom
27318;;Mulholland Pictures BV
27319;;Jagged Films
27450;;The Combine
27467;;Team Downey
27497;;Star Thrower Entertainment
27551;;Michael De Luca Productions
27753;;Ambi Pictures
28732;;RatPac Entertainment
28788;;Genre Films
29076;;Solipsist Film
29223;;Ministero per i Beni e le Attività Culturali (MiBAC)
29313;;Pearl Street Films
29566;;Atresmedia Cine
30246;;Scholastic Entertainment
31073;;Slap Happy Productions (II)
31076;;Simon Kinberg Productions
31375;;Evergreen Media Group
31828;;Avi Arad Productions
31922;;Double Negative
32157;;Right of Way Films
32184;;Belle Pictures
32300;;Lava Bear Films
32336;;Christel Films
32485;;Pokeepsie Films
33603;;ShivHans Pictures
33681;;Black Label Media
33769;;Freedom Media
33832;;Aperture Entertainment
34034;;LStar Capital
34070;;Nu Boyana Viburno
34081;;Flynn Picture Company
34530;;Perfect Storm Entertainment
34725;;Moho Film
34890;;Electronic Arts
35442;;Radio Televisión Española (RTVE)
35916;;Raffaella Productions
36259;;DefyNite Films
36326;;VIP 2 Medienfonds
36390;;3 Arts Entertainment
36433;;MJW Films
38145;;Bristol Automotive
38833;;Ian Bryce Productions
39121;;Super Cool ManChu
39626;;N279 Entertainment
39649;;Huayi Brothers Media
40890;;China Film Co.
41077;;A24
41096;;Lonetree Entertainment
41624;;RatPac-Dune Entertainment
41640;;Archer Gray
41658;;Residaco
41813;;Title Media
42209;;Peter Frankfurt Productions
42498;;Arturo González Producciones Cinematográficas S.A.
44311;;Steven Paul Production
44783;;Smart Entertainment
45778;;Plan B Entertainment
46222;;Hey Eddie
46339;;Beagle Pug Films
46875;;Nitrogen Studios Canada
47169;;Le Grisbi Productions
47354;;5150 Action
47565;;Black Rhino Productions
47706;;Allison Shearmur Productions
47729;;STX Entertainment
49096;;Yong Film
49325;;Parkes+MacDonald Image Nation
49389;;Broad Green Pictures
49471;;Zero Trans Fat Productions
49968;;Will Packer Productions
50481;;Vendian Entertainment
50501;;Sunstar Entertainment
50813;;Hernández y Fernández Producciones Cinematográficas
51145;;International Video Service
51199;;Munich Film Partners & Company (MFP) MI2 Productions
51860;;AI-Film
52660;;M Productions
52739;;Two Flints
53247;;Impostor Pictures
53299;;Image Nation
53462;;Matt Tolmach Productions
53490;;La Trini
53637;;Friendly Films
53638;;Ollin Studio
53656;;Old Bull Pictures
54050;;Linson Films
