id;movieid;companyid
841;49026;9993
842;49026;9996
843;254128;12
844;254128;79
845;254128;6194
846;254128;34081
847;2062;2
848;2062;3
849;418078;26995
850;418078;41077
851;109491;1088
852;109491;6194
853;109491;32184
854;109491;36390
855;101;5
856;101;9
857;2502;33
858;2502;862
859;2502;7384
860;2502;11346
861;2502;11347
862;461053;333
863;270303;8714
864;270303;26995
865;270303;52739
866;15163;289
867;15163;911
868;15163;2233
869;273248;215
870;273248;308
871;273248;1811
872;37724;5
873;274870;5
874;274870;79
875;274870;333
876;274870;7193
877;274870;19961
878;274870;34034
879;274870;83838
880;744;4
881;293768;290
882;293768;435
883;293768;68506
884;293768;74208
885;293768;92392
886;293768;92394
887;293768;92395
888;752;264
889;752;429
890;752;449
891;752;450
892;752;1885
893;752;6194
894;752;7307
895;752;23889
896;278154;9383
897;278154;11749
898;76812;2108
899;76812;27753
900;76812;59663
901;76812;72810
902;335797;33
903;335797;3341
904;335797;6452
905;335797;6704
906;70160;1632
907;70160;5420
908;346672;126
909;346672;3287
910;346672;7738
911;17774;3383
912;17774;3384
913;497;97
914;497;3982
915;497;6194
916;326285;35
917;326285;126
918;326285;72441
919;146;58
920;146;2269
921;146;2798
922;146;10565
923;146;12205
924;146;20289
925;146;20290
926;146;20291
927;259695;562
928;259695;6194
929;259695;29313
930;646;60
931;646;7576
932;74;4
933;74;27
934;74;44
935;74;56
936;207;9195
937;207;10282
938;85;1
939;85;4
940;5968;41
941;640;367
942;640;368
943;640;11084
944;10585;60
945;301875;1645
946;301875;14446
947;301875;33769
948;301875;41077
949;301875;80835
950;150689;2
951;150689;28788
952;150689;46339
953;150689;47706
954;68718;5
955;68718;308
956;254;11
957;254;33
958;254;68
959;254;69
960;578;33
961;578;1865
962;313369;491
963;313369;2527
964;313369;10161
965;313369;33681
966;313369;53247
967;12271;308
968;12271;1305
969;12271;21856
970;225574;694
971;225574;1885
972;225574;3823
973;225574;5358
974;225574;20664
975;225574;22123
976;225574;26387
977;72105;33
978;72105;2531
979;72105;8789
980;197796;104
981;197796;264
982;197796;616
983;197796;3823
984;197796;5076
985;197796;7981
986;197796;19233
987;197796;22123
988;197796;23616
989;694;88
990;694;6194
991;694;11272
992;184315;4
993;184315;8411
994;184315;19648
995;184315;34081
996;616;44
997;616;6194
998;616;14718
999;616;20634
1000;10679;7330
1001;10679;9282
1002;10679;10229
1003;181533;306
1004;181533;436
1005;181533;2575
1006;181533;20478
1007;181533;22213
1008;37686;4
1009;37686;56
1010;37686;11461
1011;37686;23300
1012;11532;419
1013;11532;32336
1014;273481;1632
1015;273481;3528
1016;273481;33681
1017;1891;1
1018;1891;306
1019;102651;2
1020;102651;3036
1021;102651;16314
1022;27586;1246
1023;27586;2648
1024;27586;4700
1025;9738;306
1026;9738;436
1027;9738;5755
1028;9738;19551
1029;9738;26149
1030;601;33
1031;601;56
1032;627;14
1033;627;181
1034;627;358
1035;627;359
1036;627;9349
1037;14160;3
1038;1771;4
1039;1771;420
1040;1969;828
1041;1969;3823
1042;1969;5358
1043;1969;6586
1044;1969;6896
1045;1969;11473
1046;218;41
1047;218;1280
1048;218;3952
1049;218;4764
1050;218;7745
1051;39254;27
1052;39254;2575
1053;39254;7294
1054;39254;9195
1055;39254;11395
1056;39254;12087
1057;39254;76043
1058;39254;76067
1059;39254;76069
1060;280996;288
1061;280996;7217
1062;280996;7493
1063;280996;41640
1064;280996;51860
1065;923;638
1066;923;83715
1067;307663;3604
1068;307663;6715
1069;307663;10405
1070;307663;33832
1071;190859;79
1072;190859;171
1073;190859;6194
1074;190859;41624
1075;190859;57408
1076;190859;57409
1077;292280;1224
1078;292280;85283
1079;17578;4
1080;17578;5
1081;17578;11
1082;17578;56
1083;17578;2348
1084;17578;7383
1085;17578;9169
1086;260514;2
1087;260514;3
1088;11679;333
1089;11679;441
1090;11679;497
1091;324668;862
1092;324668;25716
1093;324668;29313
1094;324668;31922
1095;324668;83871
1096;1724;33
1097;1724;420
1098;1724;11533
1099;1724;25121
1100;268;1382
1101;268;4357
1102;268;6194
1103;1949;4
1104;1949;6194
1105;1949;11317
1106;767;6194
1107;767;7364
1108;10138;420
1109;955;4
1110;955;44
1111;955;51199
1112;9792;43
1113;9792;444
1114;9792;445
1115;9792;1600
1116;15255;10254
1117;15255;94362
1118;254302;290
1119;254302;2395
1120;254302;11199
1121;254302;11561
1122;254302;11667
1123;2059;2
1124;2059;130
1125;2059;831
1126;2059;19097
1127;2133;6194
1128;2133;16061
1129;2133;18990
1130;340666;33
1131;340666;2394
1132;340666;9351
1133;340666;10146
1134;920;2
1135;920;3
1136;36648;12
1137;36648;421
1138;36648;8851
1139;36648;11321
1140;36648;19551
1141;36648;42209
1142;27;163
1143;2005;9195
1144;1573;306
1145;1573;1073
1146;1573;1885
1147;267935;2
1148;267935;56
1149;267935;7294
1150;267935;7383
1151;267935;10221
1152;568;23
1153;568;33
1154;58595;33
1155;58595;16314
1156;100402;420
1157;345915;10255
1158;58574;79
1159;58574;1885
1160;58574;2723
1161;58574;6194
1162;58574;23202
1163;13486;33
1164;13486;3299
1165;13486;4792
1166;13486;19643
1167;9982;2
1168;9982;10217
1169;374473;729
1170;374473;856
1171;374473;1926
1172;374473;5165
1173;374473;5996
1174;374473;12695
1175;591;5
1176;591;23
1177;591;8253
1178;591;19927
1179;15159;5
1180;15159;3929
1181;15159;8411
1182;10711;306
1183;49521;923
1184;49521;6194
1185;49521;9993
1186;49521;9996
1187;49521;78685
1188;1422;829
1189;1422;5552
1190;1422;6194
1191;1422;7380
1192;1422;45778
1193;12244;1268
1194;12244;2885
